SAMPID	SMTS	SMTSD
GTEX-1117F-0011-R11b-SM-GIN8R	Brain	Brain - Cerebellar Hemisphere
GTEX-1117F-0011-R2b-SM-GI4VL	Brain	Brain - Substantia nigra
GTEX-1117F-0011-R3a-SM-GJ3PJ	Brain	Brain - Anterior cingulate cortex (BA24)
GTEX-1117F-0011-R4b-SM-GI4VM	Brain	Brain - Amygdala
GTEX-1117F-0011-R5a-SM-GI4VW	Brain	Brain - Caudate (basal ganglia)
GTEX-1117F-0011-R6a-SM-GI4VX	Brain	Brain - Nucleus accumbens (basal ganglia)
GTEX-1117F-0011-R7a-SM-H65ZK	Brain	Brain - Putamen (basal ganglia)
GTEX-1117F-0226-SM-5GZZ7	Adipose Tissue	Adipose - Subcutaneous
GTEX-1117F-0426-SM-5EGHI	Muscle	Muscle - Skeletal
GTEX-1117F-0526-SM-5EGHJ	Blood Vessel	Artery - Tibial
GTEX-1117F-0626-SM-5N9CS	Blood Vessel	Artery - Coronary
GTEX-1117F-0726-SM-5GIEN	Heart	Heart - Atrial Appendage
GTEX-1117F-1426-SM-H65ZH	Thyroid	Thyroid
GTEX-1117F-2126-SM-GIN9G	Kidney	Kidney - Cortex
GTEX-1117F-2426-SM-5EGGH	Uterus	Uterus
GTEX-1117F-2526-SM-5GZY6	Vagina	Vagina
GTEX-1117F-2826-SM-5GZXL	Breast	Breast - Mammary Tissue
GTEX-1117F-2926-SM-5GZYI	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1117F-3026-SM-5GZYU	Salivary Gland	Minor Salivary Gland
GTEX-1117F-3226-SM-5N9CT	Brain	Brain - Cortex
GTEX-111CU-0002-SM-HTQ8G	Blood	Cells - EBV-transformed lymphocytes
GTEX-111CU-0005-SM-GJ3PH	Blood	Whole Blood
GTEX-111CU-0126-SM-5GZWZ	Adrenal Gland	Adrenal Gland
GTEX-111CU-0226-SM-5GZXC	Thyroid	Thyroid
GTEX-111CU-0326-SM-5GZXO	Lung	Lung
GTEX-111CU-0426-SM-5GZY1	Spleen	Spleen
GTEX-111CU-0526-SM-5EGHK	Pancreas	Pancreas
GTEX-111CU-0626-SM-5EGHL	Esophagus	Esophagus - Muscularis
GTEX-111CU-0726-SM-5GZYD	Esophagus	Esophagus - Mucosa
GTEX-111CU-0826-SM-5EGIJ	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-111CU-0926-SM-5EGIK	Stomach	Stomach
GTEX-111CU-1026-SM-5EGIL	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-111CU-1126-SM-5EGIM	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-111CU-1226-SM-5EGIN	Colon	Colon - Sigmoid
GTEX-111CU-1326-SM-5NQ8L	Small Intestine	Small Intestine - Terminal Ileum
GTEX-111CU-1426-SM-5GZYP	Colon	Colon - Transverse
GTEX-111CU-1526-SM-5N9FS	Prostate	Prostate
GTEX-111CU-1726-SM-5EGHM	Testis	Testis
GTEX-111CU-1826-SM-5GZYN	Adipose Tissue	Adipose - Subcutaneous
GTEX-111CU-1926-SM-5GZYZ	Skin	Skin - Sun Exposed (Lower leg)
GTEX-111CU-2026-SM-5GZZC	Muscle	Muscle - Skeletal
GTEX-111CU-2226-SM-5N9G5	Nerve	Nerve - Tibial
GTEX-111FC-0006-SM-H65Z1	Blood	Whole Blood
GTEX-111FC-0011-R10a-SM-GIN8G	Brain	Brain - Frontal Cortex (BA9)
GTEX-111FC-0011-R11a-SM-H65Z8	Brain	Brain - Cerebellar Hemisphere
GTEX-111FC-0011-R2a-SM-GIN8S	Brain	Brain - Substantia nigra
GTEX-111FC-0011-R3b-SM-GJ3PN	Brain	Brain - Anterior cingulate cortex (BA24)
GTEX-111FC-0011-R4a-SM-GIN8K	Brain	Brain - Amygdala
GTEX-111FC-0011-R5a-SM-GIN8L	Brain	Brain - Caudate (basal ganglia)
GTEX-111FC-0011-R6b-SM-GIN8M	Brain	Brain - Nucleus accumbens (basal ganglia)
GTEX-111FC-0011-R7a-SM-GIN8V	Brain	Brain - Putamen (basal ganglia)
GTEX-111FC-0011-R8b-SM-GI4VS	Brain	Brain - Hypothalamus
GTEX-111FC-0126-SM-5N9DL	Skin	Skin - Sun Exposed (Lower leg)
GTEX-111FC-0226-SM-5N9B8	Adipose Tissue	Adipose - Subcutaneous
GTEX-111FC-0326-SM-5GZZ1	Muscle	Muscle - Skeletal
GTEX-111FC-0426-SM-5N9CV	Blood Vessel	Artery - Tibial
GTEX-111FC-0526-SM-5GZZ8	Nerve	Nerve - Tibial
GTEX-111FC-0626-SM-5N9CU	Heart	Heart - Atrial Appendage
GTEX-111FC-0826-SM-5GZWO	Heart	Heart - Left Ventricle
GTEX-111FC-1026-SM-5GZX1	Thyroid	Thyroid
GTEX-111FC-1126-SM-5GZWU	Lung	Lung
GTEX-111FC-1226-SM-HAV27	Liver	Liver
GTEX-111FC-1326-SM-5N9D9	Spleen	Spleen
GTEX-111FC-1426-SM-5N9C7	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-111FC-1926-SM-5GZYC	Testis	Testis
GTEX-111FC-2026-SM-5GZYO	Prostate	Prostate
GTEX-111FC-2526-SM-5GZXU	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-111FC-2926-SM-5GZY7	Salivary Gland	Minor Salivary Gland
GTEX-111FC-3126-SM-5GZZ2	Brain	Brain - Cortex
GTEX-111FC-3326-SM-5GZYV	Brain	Brain - Cerebellum
GTEX-111VG-0008-SM-5Q5BG	Skin	Cells - Cultured fibroblasts
GTEX-111VG-0011-R9b-SM-GHWOB	Brain	Brain - Spinal cord (cervical c-1)
GTEX-111VG-0326-SM-5GZX7	Heart	Heart - Atrial Appendage
GTEX-111VG-0426-SM-GI4W4	Heart	Heart - Left Ventricle
GTEX-111VG-0526-SM-5N9BW	Thyroid	Thyroid
GTEX-111VG-0726-SM-5GIDC	Lung	Lung
GTEX-111VG-1626-SM-5EGIO	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-111VG-1926-SM-5GIDO	Testis	Testis
GTEX-111VG-2226-SM-5N9DU	Colon	Colon - Transverse
GTEX-111VG-2326-SM-5N9BK	Adipose Tissue	Adipose - Subcutaneous
GTEX-111VG-2426-SM-5GZXD	Skin	Skin - Sun Exposed (Lower leg)
GTEX-111VG-2526-SM-5GZXP	Nerve	Nerve - Tibial
GTEX-111VG-2626-SM-5GZY2	Muscle	Muscle - Skeletal
GTEX-111YS-0001-SM-HKZYQ	Blood	Cells - EBV-transformed lymphocytes
GTEX-111YS-0006-SM-5NQBE	Blood	Whole Blood
GTEX-111YS-0008-SM-5Q5BH	Skin	Cells - Cultured fibroblasts
GTEX-111YS-0126-SM-5987T	Adrenal Gland	Adrenal Gland
GTEX-111YS-0326-SM-5GZZ3	Heart	Heart - Atrial Appendage
GTEX-111YS-0426-SM-5987O	Heart	Heart - Left Ventricle
GTEX-111YS-0526-SM-5GZXJ	Blood Vessel	Artery - Aorta
GTEX-111YS-0626-SM-5GZXV	Lung	Lung
GTEX-111YS-0726-SM-5GZY8	Thyroid	Thyroid
GTEX-111YS-0826-SM-5GZYK	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-111YS-0926-SM-5EGGI	Esophagus	Esophagus - Mucosa
GTEX-111YS-1026-SM-5GZYE	Esophagus	Esophagus - Muscularis
GTEX-111YS-1126-SM-5GZYQ	Stomach	Stomach
GTEX-111YS-1226-SM-5EGGJ	Pancreas	Pancreas
GTEX-111YS-1326-SM-5EGGK	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-111YS-1426-SM-5GID8	Small Intestine	Small Intestine - Terminal Ileum
GTEX-111YS-1526-SM-5GZYW	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-111YS-1626-SM-5GZZ9	Colon	Colon - Transverse
GTEX-111YS-1726-SM-5GIED	Prostate	Prostate
GTEX-111YS-1826-SM-5GIEP	Colon	Colon - Sigmoid
GTEX-111YS-1926-SM-5GICC	Breast	Breast - Mammary Tissue
GTEX-111YS-2026-SM-5EGGL	Testis	Testis
GTEX-111YS-2126-SM-5EGGM	Nerve	Nerve - Tibial
GTEX-111YS-2226-SM-5987P	Blood Vessel	Artery - Tibial
GTEX-111YS-2326-SM-5987L	Muscle	Muscle - Skeletal
GTEX-111YS-2426-SM-5GZZQ	Adipose Tissue	Adipose - Subcutaneous
GTEX-1122O-0003-SM-5Q5DL	Blood	Cells - EBV-transformed lymphocytes
GTEX-1122O-0005-SM-5O99J	Blood	Whole Blood
GTEX-1122O-0008-SM-5QGR2	Skin	Cells - Cultured fibroblasts
GTEX-1122O-0126-SM-5GICA	Lung	Lung
GTEX-1122O-0226-SM-5N9DA	Thyroid	Thyroid
GTEX-1122O-0326-SM-5H124	Adrenal Gland	Adrenal Gland
GTEX-1122O-0426-SM-5H12G	Blood Vessel	Artery - Coronary
GTEX-1122O-0526-SM-5N9DM	Spleen	Spleen
GTEX-1122O-0626-SM-5N9B9	Heart	Heart - Atrial Appendage
GTEX-1122O-0726-SM-5GIEV	Pancreas	Pancreas
GTEX-1122O-0826-SM-5GICV	Heart	Heart - Left Ventricle
GTEX-1122O-0926-SM-9YFLC	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1122O-1026-SM-9WYSF	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1122O-1126-SM-5NQ8X	Blood Vessel	Artery - Aorta
GTEX-1122O-1226-SM-5H113	Breast	Breast - Mammary Tissue
GTEX-1122O-1326-SM-5H11F	Small Intestine	Small Intestine - Terminal Ileum
GTEX-1122O-1426-SM-5H11R	Colon	Colon - Sigmoid
GTEX-1122O-1526-SM-5N9CL	Colon	Colon - Transverse
GTEX-1122O-1626-SM-5N9CX	Esophagus	Esophagus - Muscularis
GTEX-1122O-1726-SM-5GICM	Esophagus	Esophagus - Mucosa
GTEX-1122O-1826-SM-5EGIP	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-1122O-1926-SM-5EGIQ	Stomach	Stomach
GTEX-1122O-2026-SM-9YFMG	Adipose Tissue	Adipose - Subcutaneous
GTEX-1122O-2126-SM-5EGIR	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1122O-2326-SM-9YFL9	Blood Vessel	Artery - Tibial
GTEX-1122O-2426-SM-5GIDN	Muscle	Muscle - Skeletal
GTEX-1128S-0003-SM-HTQ89	Blood	Cells - EBV-transformed lymphocytes
GTEX-1128S-0005-SM-5P9HI	Blood	Whole Blood
GTEX-1128S-0008-SM-5Q5DP	Skin	Cells - Cultured fibroblasts
GTEX-1128S-0126-SM-5H12S	Thyroid	Thyroid
GTEX-1128S-0326-SM-5GZZF	Blood Vessel	Artery - Aorta
GTEX-1128S-0726-SM-5N9D6	Lung	Lung
GTEX-1128S-0826-SM-5GZZI	Pancreas	Pancreas
GTEX-1128S-0926-SM-5GZZU	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1128S-1626-SM-5H12O	Colon	Colon - Transverse
GTEX-1128S-2126-SM-5H12U	Adipose Tissue	Adipose - Subcutaneous
GTEX-1128S-2326-SM-5GZZY	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1128S-2426-SM-5H11B	Muscle	Muscle - Skeletal
GTEX-1128S-2526-SM-5H11N	Blood Vessel	Artery - Tibial
GTEX-1128S-2626-SM-5H11Z	Pituitary	Pituitary
GTEX-1128S-2726-SM-5H12C	Brain	Brain - Cortex
GTEX-1128S-2826-SM-5N9DI	Brain	Brain - Cerebellum
GTEX-113IC-0006-SM-5NQ9C	Blood	Whole Blood
GTEX-113IC-0008-SM-5QGRF	Skin	Cells - Cultured fibroblasts
GTEX-113IC-0126-SM-5HL6T	Skin	Skin - Sun Exposed (Lower leg)
GTEX-113IC-0226-SM-5HL5C	Adipose Tissue	Adipose - Subcutaneous
GTEX-113IC-0426-SM-5HL5O	Blood Vessel	Artery - Tibial
GTEX-113IC-0526-SM-5HL76	Nerve	Nerve - Tibial
GTEX-113JC-0006-SM-5O997	Blood	Whole Blood
GTEX-113JC-0008-SM-5QGR6	Skin	Cells - Cultured fibroblasts
GTEX-113JC-0011-R9a-SM-H6Q8K	Brain	Brain - Spinal cord (cervical c-1)
GTEX-113JC-0126-SM-5EGJW	Thyroid	Thyroid
GTEX-113JC-0726-SM-5GZZR	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-113JC-0926-SM-5H114	Esophagus	Esophagus - Muscularis
GTEX-113JC-1026-SM-5H117	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-113JC-1726-SM-GIN9H	Colon	Colon - Sigmoid
GTEX-113JC-1926-SM-5N9GE	Vagina	Vagina
GTEX-113JC-2226-SM-5EGJG	Uterus	Uterus
GTEX-113JC-2326-SM-5EQ4E	Skin	Skin - Sun Exposed (Lower leg)
GTEX-113JC-2726-SM-5EGIS	Muscle	Muscle - Skeletal
GTEX-113JC-2826-SM-5EGIT	Pituitary	Pituitary
GTEX-117XS-0005-SM-5PNU6	Blood	Whole Blood
GTEX-117XS-0008-SM-5Q5DQ	Skin	Cells - Cultured fibroblasts
GTEX-117XS-0011-R10b-SM-GIN8Z	Brain	Brain - Frontal Cortex (BA9)
GTEX-117XS-0011-R11b-SM-H7OHC	Brain	Brain - Cerebellar Hemisphere
GTEX-117XS-0011-R1b-SM-GJ3PQ	Brain	Brain - Hippocampus
GTEX-117XS-0011-R2b-SM-GI4VT	Brain	Brain - Substantia nigra
GTEX-117XS-0011-R3a-SM-GIN8W	Brain	Brain - Anterior cingulate cortex (BA24)
GTEX-117XS-0011-R4b-SM-GJ3PR	Brain	Brain - Amygdala
GTEX-117XS-0011-R5b-SM-GJ3PP	Brain	Brain - Caudate (basal ganglia)
GTEX-117XS-0011-R6b-SM-GHWOC	Brain	Brain - Nucleus accumbens (basal ganglia)
GTEX-117XS-0011-R7a-SM-GI4VO	Brain	Brain - Putamen (basal ganglia)
GTEX-117XS-0011-R8b-SM-GHWOD	Brain	Brain - Hypothalamus
GTEX-117XS-0011-R9b-SM-GHWOG	Brain	Brain - Spinal cord (cervical c-1)
GTEX-117XS-0426-SM-5GZZN	Blood Vessel	Artery - Aorta
GTEX-117XS-0526-SM-5987Q	Thyroid	Thyroid
GTEX-117XS-0726-SM-5H131	Heart	Heart - Atrial Appendage
GTEX-117XS-1926-SM-5GICO	Breast	Breast - Mammary Tissue
GTEX-117XS-2026-SM-5GID1	Testis	Testis
GTEX-117XS-2226-SM-5GIE1	Colon	Colon - Sigmoid
GTEX-117XS-2426-SM-GHWOR	Adipose Tissue	Adipose - Subcutaneous
GTEX-117XS-2526-SM-5H11G	Muscle	Muscle - Skeletal
GTEX-117XS-2626-SM-GHWOS	Nerve	Nerve - Tibial
GTEX-117XS-2726-SM-5N9BL	Skin	Skin - Sun Exposed (Lower leg)
GTEX-117XS-2926-SM-5N9BX	Pituitary	Pituitary
GTEX-117XS-3026-SM-5N9CA	Brain	Brain - Cortex
GTEX-117XS-3126-SM-5GIDP	Brain	Brain - Cerebellum
GTEX-117YW-0005-SM-5NQ8Z	Blood	Whole Blood
GTEX-117YW-0008-SM-5QGRD	Skin	Cells - Cultured fibroblasts
GTEX-117YW-0011-R8a-SM-GINAB	Brain	Brain - Hypothalamus
GTEX-117YW-0011-R9a-SM-GHWPQ	Brain	Brain - Spinal cord (cervical c-1)
GTEX-117YW-0126-SM-5EGGN	Thyroid	Thyroid
GTEX-117YW-0226-SM-5N9CM	Blood Vessel	Artery - Aorta
GTEX-117YW-0326-SM-5N9CY	Heart	Heart - Left Ventricle
GTEX-117YW-0426-SM-5GZZZ	Heart	Heart - Atrial Appendage
GTEX-117YW-0526-SM-5H11C	Lung	Lung
GTEX-117YW-0826-SM-5H11O	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-117YW-1426-SM-5EGGO	Prostate	Prostate
GTEX-117YW-1526-SM-5EGGP	Testis	Testis
GTEX-117YW-1826-SM-5PNY5	Colon	Colon - Transverse
GTEX-117YW-1926-SM-5H121	Esophagus	Esophagus - Mucosa
GTEX-117YW-2026-SM-5N9BH	Esophagus	Esophagus - Muscularis
GTEX-117YW-2226-SM-5N9DB	Stomach	Stomach
GTEX-117YW-2426-SM-5Q5AE	Muscle	Muscle - Skeletal
GTEX-117YW-2626-SM-5GZZH	Skin	Skin - Sun Exposed (Lower leg)
GTEX-117YW-2826-SM-5H116	Pituitary	Pituitary
GTEX-117YX-0002-SM-HTQ8J	Blood	Cells - EBV-transformed lymphocytes
GTEX-117YX-0006-SM-GI4VF	Blood	Whole Blood
GTEX-117YX-0126-SM-5EGH5	Adrenal Gland	Adrenal Gland
GTEX-117YX-0226-SM-5EGH6	Pancreas	Pancreas
GTEX-117YX-0326-SM-5GICL	Small Intestine	Small Intestine - Terminal Ileum
GTEX-117YX-0526-SM-5EGJH	Colon	Colon - Sigmoid
GTEX-117YX-0626-SM-5EGJI	Heart	Heart - Atrial Appendage
GTEX-117YX-0726-SM-5GIET	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-117YX-0826-SM-5H11J	Colon	Colon - Transverse
GTEX-117YX-1026-SM-5H11V	Stomach	Stomach
GTEX-117YX-1126-SM-5H128	Heart	Heart - Left Ventricle
GTEX-117YX-1226-SM-5H11S	Thyroid	Thyroid
GTEX-117YX-1326-SM-5H125	Lung	Lung
GTEX-117YX-1426-SM-5H12H	Breast	Breast - Mammary Tissue
GTEX-117YX-1526-SM-5H12T	Prostate	Prostate
GTEX-117YX-1726-SM-5GZZS	Blood Vessel	Artery - Coronary
GTEX-117YX-1826-SM-5H12K	Esophagus	Esophagus - Muscularis
GTEX-117YX-1926-SM-5GIEC	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-117YX-2026-SM-5GIEF	Testis	Testis
GTEX-117YX-2126-SM-5GIEL	Spleen	Spleen
GTEX-117YX-2226-SM-5EGJJ	Adipose Tissue	Adipose - Subcutaneous
GTEX-117YX-2326-SM-5H12W	Skin	Skin - Sun Exposed (Lower leg)
GTEX-117YX-2426-SM-5GZZJ	Nerve	Nerve - Tibial
GTEX-117YX-2526-SM-5EQ4Q	Muscle	Muscle - Skeletal
GTEX-117YX-2626-SM-5EQ53	Blood Vessel	Artery - Tibial
GTEX-1192W-0005-SM-5NQBQ	Blood	Whole Blood
GTEX-1192W-0008-SM-5QGRE	Skin	Cells - Cultured fibroblasts
GTEX-1192W-0011-R10b-SM-GHWOF	Brain	Brain - Frontal Cortex (BA9)
GTEX-1192W-0011-R11b-SM-GIN8X	Brain	Brain - Cerebellar Hemisphere
GTEX-1192W-0011-R3a-SM-GJ3PO	Brain	Brain - Anterior cingulate cortex (BA24)
GTEX-1192W-0011-R5a-SM-GI4VY	Brain	Brain - Caudate (basal ganglia)
GTEX-1192W-0011-R7a-SM-GJ3PS	Brain	Brain - Putamen (basal ganglia)
GTEX-1192W-0126-SM-5EGGS	Thyroid	Thyroid
GTEX-1192W-0226-SM-5EGGT	Heart	Heart - Atrial Appendage
GTEX-1192W-2626-SM-5Q5AF	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1192W-3026-SM-5GZZV	Pituitary	Pituitary
GTEX-1192X-0001-SM-HTQ84	Blood	Cells - EBV-transformed lymphocytes
GTEX-1192X-0005-SM-5NQC3	Blood	Whole Blood
GTEX-1192X-0008-SM-5Q5B7	Skin	Cells - Cultured fibroblasts
GTEX-1192X-0011-R10a-SM-DO941	Brain	Brain - Frontal Cortex (BA9)
GTEX-1192X-0011-R11b-SM-DO935	Brain	Brain - Cerebellar Hemisphere
GTEX-1192X-0011-R1b-SM-GI4VU	Brain	Brain - Hippocampus
GTEX-1192X-0011-R2b-SM-GI4VV	Brain	Brain - Substantia nigra
GTEX-1192X-0011-R3b-SM-GIN8Y	Brain	Brain - Anterior cingulate cortex (BA24)
GTEX-1192X-0011-R5a-SM-DNZZA	Brain	Brain - Caudate (basal ganglia)
GTEX-1192X-0011-R6a-SM-DNZZB	Brain	Brain - Nucleus accumbens (basal ganglia)
GTEX-1192X-0011-R7b-SM-DNZZC	Brain	Brain - Putamen (basal ganglia)
GTEX-1192X-0011-R8b-SM-DO11U	Brain	Brain - Hypothalamus
GTEX-1192X-0011-R9b-SM-DO934	Brain	Brain - Spinal cord (cervical c-1)
GTEX-1192X-0226-SM-5H12D	Skin	Skin - Sun Exposed (Lower leg)
GTEX-1192X-0326-SM-5H11U	Nerve	Nerve - Tibial
GTEX-1192X-0426-SM-5GIEE	Muscle	Muscle - Skeletal
GTEX-1192X-0726-SM-5987R	Heart	Heart - Atrial Appendage
GTEX-1192X-1126-SM-5EGGU	Thyroid	Thyroid
GTEX-1192X-1526-SM-5H11I	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1192X-1826-SM-5GIE2	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-1192X-2326-SM-5987X	Breast	Breast - Mammary Tissue
GTEX-1192X-2526-SM-59868	Small Intestine	Small Intestine - Terminal Ileum
GTEX-1192X-2726-SM-5N9DN	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1192X-2926-SM-5N9BA	Salivary Gland	Minor Salivary Gland
GTEX-1192X-3026-SM-5N9BM	Pituitary	Pituitary
GTEX-1192X-3126-SM-5N9BY	Brain	Brain - Cortex
GTEX-1192X-3226-SM-5987D	Brain	Brain - Cerebellum
GTEX-11DXW-0006-SM-5NQ7Y	Blood	Whole Blood
GTEX-11DXW-0008-SM-5Q59V	Skin	Cells - Cultured fibroblasts
GTEX-11DXW-0011-R10b-SM-GI4VP	Brain	Brain - Frontal Cortex (BA9)
GTEX-11DXW-0011-R11b-SM-H65Z7	Brain	Brain - Cerebellar Hemisphere
GTEX-11DXW-0011-R1a-SM-DNZZD	Brain	Brain - Hippocampus
GTEX-11DXW-0011-R3b-SM-DNZZE	Brain	Brain - Anterior cingulate cortex (BA24)
GTEX-11DXW-0011-R5b-SM-DO11D	Brain	Brain - Caudate (basal ganglia)
GTEX-11DXW-0011-R6a-SM-DO11N	Brain	Brain - Nucleus accumbens (basal ganglia)
GTEX-11DXW-0011-R7b-SM-DO119	Brain	Brain - Putamen (basal ganglia)
GTEX-11DXW-0011-R8a-SM-GIN8T	Brain	Brain - Hypothalamus
GTEX-11DXW-0011-R9a-SM-GHWOE	Brain	Brain - Spinal cord (cervical c-1)
GTEX-11DXW-0226-SM-5H122	Skin	Skin - Sun Exposed (Lower leg)
GTEX-11DXW-0326-SM-5H11W	Adipose Tissue	Adipose - Subcutaneous
GTEX-11DXW-0426-SM-5H12E	Nerve	Nerve - Tibial
GTEX-11DXW-0526-SM-5H127	Blood Vessel	Artery - Tibial
GTEX-11DXW-0626-SM-5N9ER	Breast	Breast - Mammary Tissue
GTEX-11DXW-0726-SM-5H12J	Muscle	Muscle - Skeletal
GTEX-11DXW-0826-SM-5H118	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-11DXW-1026-SM-5H11K	Brain	Brain - Cerebellum
GTEX-11DXW-1126-SM-5H12Q	Brain	Brain - Cortex
GTEX-11DXW-1226-SM-5H133	Pituitary	Pituitary
GTEX-11DXX-0002-SM-HTQ7V	Blood	Cells - EBV-transformed lymphocytes
GTEX-11DXX-0005-SM-5NQ8B	Blood	Whole Blood
GTEX-11DXX-0008-SM-5Q5B8	Skin	Cells - Cultured fibroblasts
GTEX-11DXX-0126-SM-5EGH7	Adrenal Gland	Adrenal Gland
GTEX-11DXX-0226-SM-5P9HL	Thyroid	Thyroid
GTEX-11DXX-0326-SM-5PNWC	Heart	Heart - Left Ventricle
GTEX-11DXX-0426-SM-5EQ5F	Blood Vessel	Artery - Aorta
GTEX-11DXX-0526-SM-5PNVR	Heart	Heart - Atrial Appendage
GTEX-11DXX-0626-SM-5Q5AG	Lung	Lung
GTEX-11DXX-0726-SM-5H12X	Spleen	Spleen
GTEX-11DXX-0826-SM-5GZZP	Blood Vessel	Artery - Coronary
GTEX-11DXX-0926-SM-5H112	Pancreas	Pancreas
GTEX-11DXX-1026-SM-5H11E	Esophagus	Esophagus - Muscularis
GTEX-11DXX-1126-SM-5GZZK	Esophagus	Esophagus - Mucosa
GTEX-11DXX-1226-SM-5GICD	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-11DXX-1326-SM-5GIDZ	Stomach	Stomach
GTEX-11DXX-1426-SM-5GIDU	Ovary	Ovary
GTEX-11DXX-1526-SM-5H115	Uterus	Uterus
GTEX-11DXX-1626-SM-5H11H	Small Intestine	Small Intestine - Terminal Ileum
GTEX-11DXX-1726-SM-5H11T	Vagina	Vagina
GTEX-11DXX-1826-SM-5H126	Colon	Colon - Transverse
GTEX-11DXX-1926-SM-5EGJK	Colon	Colon - Sigmoid
GTEX-11DXX-2026-SM-5EGJL	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-11DXX-2126-SM-5PNYR	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-11DXX-2326-SM-5Q5A2	Adipose Tissue	Adipose - Subcutaneous
GTEX-11DXX-2426-SM-5GZZW	Skin	Skin - Sun Exposed (Lower leg)
GTEX-11DXX-2526-SM-5H119	Nerve	Nerve - Tibial
GTEX-11DXX-2626-SM-5Q5A3	Blood Vessel	Artery - Tibial
GTEX-11DXX-2726-SM-5PNXO	Muscle	Muscle - Skeletal
GTEX-11DXY-0006-SM-5NQ8N	Blood	Whole Blood
GTEX-11DXY-0008-SM-5QGR4	Skin	Cells - Cultured fibroblasts
GTEX-11DXY-0011-R10b-SM-DO12C	Brain	Brain - Frontal Cortex (BA9)
GTEX-11DXY-0011-R11a-SM-DNZZN	Brain	Brain - Cerebellar Hemisphere
GTEX-11DXY-0011-R1b-SM-GI4VQ	Brain	Brain - Hippocampus
GTEX-11DXY-0011-R3a-SM-GIN8U	Brain	Brain - Anterior cingulate cortex (BA24)
GTEX-11DXY-0011-R4b-SM-GI4VR	Brain	Brain - Amygdala
GTEX-11DXY-0011-R5b-SM-DNZZL	Brain	Brain - Caudate (basal ganglia)
GTEX-11DXY-0011-R6a-SM-DNZZF	Brain	Brain - Nucleus accumbens (basal ganglia)
GTEX-11DXY-0011-R7a-SM-DO11L	Brain	Brain - Putamen (basal ganglia)
GTEX-11DXY-0011-R8a-SM-DO11M	Brain	Brain - Hypothalamus
GTEX-11DXY-0126-SM-5H11Q	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-11DXY-0226-SM-5H123	Testis	Testis
GTEX-11DXY-0326-SM-5H12F	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-11DXY-0426-SM-5H12R	Thyroid	Thyroid
GTEX-11DXY-0526-SM-5EGGQ	Liver	Liver
GTEX-11DXY-0826-SM-5EGGR	Heart	Heart - Left Ventricle
GTEX-11DXY-1026-SM-5987V	Heart	Heart - Atrial Appendage
GTEX-11DXY-1126-SM-5987W	Blood Vessel	Artery - Coronary
GTEX-11DXY-1326-SM-5987Z	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-11DXY-1426-SM-5N9CN	Esophagus	Esophagus - Mucosa
GTEX-11DXY-1526-SM-5H129	Esophagus	Esophagus - Muscularis
GTEX-11DXY-1626-SM-5H12L	Adrenal Gland	Adrenal Gland
GTEX-11DXY-2026-SM-5N9CZ	Colon	Colon - Sigmoid
GTEX-11DXY-2326-SM-5GICW	Breast	Breast - Mammary Tissue
GTEX-11DXY-2626-SM-5GIE7	Skin	Skin - Sun Exposed (Lower leg)
GTEX-11DXY-2726-SM-5GID2	Muscle	Muscle - Skeletal
GTEX-11DXY-3026-SM-5N9CB	Pituitary	Pituitary
GTEX-11DXY-3126-SM-5N9BT	Brain	Brain - Cerebellum
GTEX-11DXY-3226-SM-5GIDE	Brain	Brain - Cortex
GTEX-11DXZ-0002-SM-HTQ83	Blood	Cells - EBV-transformed lymphocytes
