A1CF	ENSOCUG00000011587	ENSOCUT00000011592
A1CF	ENSOCUG00000011587	ENSOCUT00000052545
A2M	ENSOCUG00000006029	ENSOCUT00000052385
A2M	ENSOCUG00000006029	ENSOCUT00000006038
A2M	ENSOCUG00000006029	ENSOCUT00000046408
A2ML1	ENSOCUG00000014012	ENSOCUT00000014029
A4GNT	ENSOCUG00000004002	ENSOCUT00000003998
AAAS	ENSOCUG00000011288	ENSOCUT00000041055
AAAS	ENSOCUG00000011288	ENSOCUT00000043462
AAAS	ENSOCUG00000011288	ENSOCUT00000011290
AACS	ENSOCUG00000013476	ENSOCUT00000055960
AACS	ENSOCUG00000013476	ENSOCUT00000038466
AACS	ENSOCUG00000013476	ENSOCUT00000013485
AACS	ENSOCUG00000013476	ENSOCUT00000061042
AADAC	ENSOCUG00000005368	ENSOCUT00000005368
AADAC	ENSOCUG00000005368	ENSOCUT00000050277
AADAC	ENSOCUG00000005368	ENSOCUT00000024671
AADAT	ENSOCUG00000011526	ENSOCUT00000011528
AAGAB	ENSOCUG00000006644	ENSOCUT00000006643
AAMP	ENSOCUG00000023014	ENSOCUT00000025504
AANAT	ENSOCUG00000014534	ENSOCUT00000014531
AAR2	ENSOCUG00000005490	ENSOCUT00000031801
AAR2	ENSOCUG00000005490	ENSOCUT00000005488
AARS2	ENSOCUG00000021422	ENSOCUT00000029549
AASDHPPT	ENSOCUG00000000231	ENSOCUT00000046807
AASDHPPT	ENSOCUG00000000231	ENSOCUT00000037774
ABAT	ENSOCUG00000010579	ENSOCUT00000034684
ABAT	ENSOCUG00000010579	ENSOCUT00000010580
ABAT	ENSOCUG00000010579	ENSOCUT00000057704
ABCA1	ENSOCUG00000009279	ENSOCUT00000009288
ABCA1	ENSOCUG00000009279	ENSOCUT00000057593
ABCA1	ENSOCUG00000009279	ENSOCUT00000060054
ABCA1	ENSOCUG00000009279	ENSOCUT00000045630
ABCA1	ENSOCUG00000009279	ENSOCUT00000045621
ABCA1	ENSOCUG00000009279	ENSOCUT00000037151
ABCA1	ENSOCUG00000009279	ENSOCUT00000060980
ABCA12	ENSOCUG00000017926	ENSOCUT00000043553
ABCA12	ENSOCUG00000017926	ENSOCUT00000044085
ABCA12	ENSOCUG00000017926	ENSOCUT00000017928
ABCA5	ENSOCUG00000014338	ENSOCUT00000014355
ABCA5	ENSOCUG00000014338	ENSOCUT00000049046
ABCA5	ENSOCUG00000014338	ENSOCUT00000053725
ABCA5	ENSOCUG00000014338	ENSOCUT00000058200
ABCA5	ENSOCUG00000014338	ENSOCUT00000041995
ABCA6	ENSOCUG00000014380	ENSOCUT00000014391
ABCB1	ENSOCUG00000014981	ENSOCUT00000036899
ABCB1	ENSOCUG00000014981	ENSOCUT00000052409
ABCB1	ENSOCUG00000014981	ENSOCUT00000033348
ABCB10	ENSOCUG00000007242	ENSOCUT00000007242
ABCB8	ENSOCUG00000008682	ENSOCUT00000053549
ABCB8	ENSOCUG00000008682	ENSOCUT00000008684
ABCC1	ENSOCUG00000017956	ENSOCUT00000024024
ABCC1	ENSOCUG00000017956	ENSOCUT00000036330
ABCC1	ENSOCUG00000017956	ENSOCUT00000047466
ABCC1	ENSOCUG00000017956	ENSOCUT00000047055
ABCC1	ENSOCUG00000017956	ENSOCUT00000064378
ABCC1	ENSOCUG00000017956	ENSOCUT00000047029
ABCC1	ENSOCUG00000017956	ENSOCUT00000063025
ABCC10	ENSOCUG00000004357	ENSOCUT00000059110
ABCC10	ENSOCUG00000004357	ENSOCUT00000058687
ABCC10	ENSOCUG00000004357	ENSOCUT00000004362
ABCC11	ENSOCUG00000002039	ENSOCUT00000042011
ABCC11	ENSOCUG00000002039	ENSOCUT00000002043
ABCC11	ENSOCUG00000002039	ENSOCUT00000064386
ABCC12	ENSOCUG00000002029	ENSOCUT00000002035
ABCC3	ENSOCUG00000002754	ENSOCUT00000002758
ABCC4	ENSOCUG00000014610	ENSOCUT00000052082
ABCC5	ENSOCUG00000007887	ENSOCUT00000046444
ABCC6	ENSOCUG00000010216	ENSOCUT00000051731
ABCC6	ENSOCUG00000010216	ENSOCUT00000010223
ABCC9	ENSOCUG00000008023	ENSOCUT00000044012
ABCC9	ENSOCUG00000008023	ENSOCUT00000048268
ABCC9	ENSOCUG00000008023	ENSOCUT00000062106
ABCC9	ENSOCUG00000008023	ENSOCUT00000046185
ABCC9	ENSOCUG00000008023	ENSOCUT00000008033
ABCD1	ENSOCUG00000017922	ENSOCUT00000026290
ABCD2	ENSOCUG00000016168	ENSOCUT00000016171
ABCD3	ENSOCUG00000004820	ENSOCUT00000041609
ABCD3	ENSOCUG00000004820	ENSOCUT00000004825
ABCD4	ENSOCUG00000003484	ENSOCUT00000045839
ABCD4	ENSOCUG00000003484	ENSOCUT00000003487
ABCD4	ENSOCUG00000003484	ENSOCUT00000060826
ABCF1	ENSOCUG00000002121	ENSOCUT00000002126
ABCF1	ENSOCUG00000002121	ENSOCUT00000041575
ABCG4	ENSOCUG00000016931	ENSOCUT00000016929
ABCG5	ENSOCUG00000005300	ENSOCUT00000048092
ABCG5	ENSOCUG00000005300	ENSOCUT00000005301
ABHD1	ENSOCUG00000006519	ENSOCUT00000006518
ABHD10	ENSOCUG00000003969	ENSOCUT00000003966
ABHD12	ENSOCUG00000002798	ENSOCUT00000033697
ABHD12B	ENSOCUG00000015511	ENSOCUT00000015514
ABHD12B	ENSOCUG00000015511	ENSOCUT00000051255
ABHD16A	ENSOCUG00000023272	ENSOCUT00000029159
ABHD17B	ENSOCUG00000000819	ENSOCUT00000044672
ABHD17B	ENSOCUG00000000819	ENSOCUT00000041580
ABHD17B	ENSOCUG00000000819	ENSOCUT00000063377
ABHD17B	ENSOCUG00000000819	ENSOCUT00000000819
ABHD17B	ENSOCUG00000000819	ENSOCUT00000060574
ABHD18	ENSOCUG00000005526	ENSOCUT00000062909
ABHD18	ENSOCUG00000005526	ENSOCUT00000058025
ABHD18	ENSOCUG00000005526	ENSOCUT00000058073
ABHD18	ENSOCUG00000005526	ENSOCUT00000005526
ABHD18	ENSOCUG00000005526	ENSOCUT00000054872
ABHD18	ENSOCUG00000005526	ENSOCUT00000034246
ABHD4	ENSOCUG00000014277	ENSOCUT00000014273
ABHD5	ENSOCUG00000006495	ENSOCUT00000042059
ABHD5	ENSOCUG00000006495	ENSOCUT00000006493
ABI1	ENSOCUG00000010076	ENSOCUT00000038610
ABI1	ENSOCUG00000010076	ENSOCUT00000055324
ABI1	ENSOCUG00000010076	ENSOCUT00000010076
ABI1	ENSOCUG00000010076	ENSOCUT00000035126
ABI1	ENSOCUG00000010076	ENSOCUT00000042356
ABI1	ENSOCUG00000010076	ENSOCUT00000040750
ABI1	ENSOCUG00000010076	ENSOCUT00000054731
ABI1	ENSOCUG00000010076	ENSOCUT00000050830
ABI1	ENSOCUG00000010076	ENSOCUT00000060101
ABL1	ENSOCUG00000007140	ENSOCUT00000036207
ABL1	ENSOCUG00000007140	ENSOCUT00000007142
ABL2	ENSOCUG00000008738	ENSOCUT00000008737
ABLIM1	ENSOCUG00000015864	ENSOCUT00000032153
ABLIM1	ENSOCUG00000015864	ENSOCUT00000037947
ABLIM1	ENSOCUG00000015864	ENSOCUT00000051919
ABLIM1	ENSOCUG00000015864	ENSOCUT00000059001
ABLIM1	ENSOCUG00000015864	ENSOCUT00000041501
ABLIM1	ENSOCUG00000015864	ENSOCUT00000059642
ABLIM1	ENSOCUG00000015864	ENSOCUT00000054152
ABLIM1	ENSOCUG00000015864	ENSOCUT00000040643
ABLIM3	ENSOCUG00000016093	ENSOCUT00000064045
ABLIM3	ENSOCUG00000016093	ENSOCUT00000053991
ABLIM3	ENSOCUG00000016093	ENSOCUT00000046360
ABLIM3	ENSOCUG00000016093	ENSOCUT00000062160
ABLIM3	ENSOCUG00000016093	ENSOCUT00000063510
ABLIM3	ENSOCUG00000016093	ENSOCUT00000016106
ABLIM3	ENSOCUG00000016093	ENSOCUT00000045079
ABR	ENSOCUG00000005197	ENSOCUT00000050427
ABR	ENSOCUG00000005197	ENSOCUT00000056085
ABR	ENSOCUG00000005197	ENSOCUT00000042633
ABR	ENSOCUG00000005197	ENSOCUT00000005201
ABR	ENSOCUG00000005197	ENSOCUT00000058825
ABRACL	ENSOCUG00000004884	ENSOCUT00000004884
ABTB1	ENSOCUG00000027274	ENSOCUT00000052559
ABTB1	ENSOCUG00000027274	ENSOCUT00000031763
ACAA2	ENSOCUG00000016540	ENSOCUT00000034898
ACACB	ENSOCUG00000007432	ENSOCUT00000007440
ACACB	ENSOCUG00000007432	ENSOCUT00000060993
ACAD11	ENSOCUG00000022723	ENSOCUT00000022116
ACAD11	ENSOCUG00000022723	ENSOCUT00000050902
ACAD11	ENSOCUG00000022723	ENSOCUT00000038692
ACAD11	ENSOCUG00000022723	ENSOCUT00000050450
ACAD11	ENSOCUG00000022723	ENSOCUT00000056552
ACAD9	ENSOCUG00000011635	ENSOCUT00000011642
ACADM	ENSOCUG00000013662	ENSOCUT00000013669
ACADM	ENSOCUG00000013662	ENSOCUT00000043348
ACADM	ENSOCUG00000013662	ENSOCUT00000033248
ACADM	ENSOCUG00000013662	ENSOCUT00000054679
ACADM	ENSOCUG00000013662	ENSOCUT00000057132
ACADS	ENSOCUG00000008379	ENSOCUT00000008376
ACADS	ENSOCUG00000008379	ENSOCUT00000045874
ACADS	ENSOCUG00000008379	ENSOCUT00000008369
ACADSB	ENSOCUG00000005330	ENSOCUT00000005330
ACADSB	ENSOCUG00000005330	ENSOCUT00000060332
ACADVL	ENSOCUG00000006966	ENSOCUT00000030301
ACADVL	ENSOCUG00000006966	ENSOCUT00000006970
ACAP1	ENSOCUG00000015300	ENSOCUT00000015306
ACAP2	ENSOCUG00000001798	ENSOCUT00000048904
ACAP2	ENSOCUG00000001798	ENSOCUT00000034560
ACAP2	ENSOCUG00000001798	ENSOCUT00000001799
ACAT1	ENSOCUG00000002882	ENSOCUT00000039081
ACAT2	ENSOCUG00000013836	ENSOCUT00000013825
ACAT2	ENSOCUG00000013836	ENSOCUT00000013836
ACBD3	ENSOCUG00000014391	ENSOCUT00000014388
ACBD4	ENSOCUG00000006742	ENSOCUT00000034271
ACBD5	ENSOCUG00000016879	ENSOCUT00000043719
ACBD5	ENSOCUG00000016879	ENSOCUT00000016883
ACBD5	ENSOCUG00000016879	ENSOCUT00000044215
ACBD5	ENSOCUG00000016879	ENSOCUT00000039757
ACBD5	ENSOCUG00000016879	ENSOCUT00000048846
ACBD6	ENSOCUG00000005184	ENSOCUT00000049843
ACCSL	ENSOCUG00000007146	ENSOCUT00000007144
ACE	ENSOCUG00000001555	ENSOCUT00000039506
